SpotifyTrack,SpotifyArtist,uri,year,genre,release_date,popular,key,explicit,mode,chartrank,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,time_signature
A Change Is Gonna Come,Seal,spotify:track:63Xyw2H8y2vXzlQSCiqbMo,2009,Jazz,10/31/2008,1,6,0,0,16,0.283,0.262,0.565,233613,0.0000268,0.533,176.577,0.54,-7.968,0.0353,3
Tropical Rain,Jessy J,spotify:track:6HgaeKHc9WW1hqDKeEYGbA,2009,Jazz,1/1/2009,1,7,0,0,17,0.486,0.734,0.472,253200,0.62,0.668,120.008,0.617,-8.599,0.0294,4
And I Love Her,Kenny Lattimore,spotify:track:19su5qOjCG0iKrWJ5etHou,2009,Jazz,1/1/2008,1,6,0,1,18,0.359,0.82,0.476,173880,0.0295,0.858,97.454,0.109,-8.182,0.0468,4
Tijuana Dance?,Rick Braun,spotify:track:6i2DHfTNVTNHl66TYfnEhT,2009,Jazz,7/28/2009,1,0,0,0,19,0.398,0.819,0.674,330400,0.85,0.934,105.995,0.0697,-5.5,0.0287,4
Living in High Definition,George Benson,spotify:track:5NtpILHoA5gZgrarTRCVVz,2009,Jazz,1/1/2009,1,1,0,1,20,0.0268,0.757,0.803,434173,0.0896,0.585,103.986,0.0466,-6.716,0.034,4
Bright,Peter White,spotify:track:0iGBZ9djtWuG1UUupKppFy,2009,Jazz,1/1/2009,1,2,0,1,21,0.533,0.715,0.641,249333,0.872,0.819,110.997,0.53,-6.078,0.0302,4
Life In The Fast Lane,Dave Koz,spotify:track:6bZE2MJEVvw32kJkOFsPkW,2009,Jazz,1/1/2008,1,9,0,0,22,0.00633,0.723,0.852,249840,0.88,0.496,107.948,0.0491,-4.693,0.125,4
Ordinary,Wayne Brady,spotify:track:5k5JjaoFDxaiYVjJiQM9W8,2009,Jazz,1/1/2008,1,11,0,1,23,0.582,0.791,0.643,203187,0,0.83,91.527,0.0849,-5.341,0.0361,4
Marimba,Paul Hardcastle,spotify:track:5bLYw9OettRvjwVIpWxKPj,2009,Jazz,2/4/2008,1,4,0,0,25,0.097,0.67,0.512,232253,0.946,0.774,107.498,0.0909,-16.052,0.0401,4
Send One Your Love,Boney James,spotify:track:1RMGbJnIQY6QhlqxKH8Fxf,2009,Jazz,1/1/2009,1,10,0,1,26,0.452,0.593,0.522,274013,0.708,0.398,145.93,0.122,-11.955,0.0309,4
Out Of A Dream,Najee,spotify:track:2uOKOsNiChTEnsSoUA5A9S,2009,Jazz,1/1/2009,1,0,0,0,27,0.344,0.684,0.766,297493,0.668,0.767,93.916,0.286,-4.539,0.0382,4
Songbird,Craig Chaquico,spotify:track:1x4YZEPdgiLpkNiGKQqkWW,2009,Jazz,5/19/2009,1,4,0,0,28,0.167,0.695,0.771,319760,0.865,0.873,136.009,0.118,-7.351,0.0317,4
Ritmo y Romance,Kenny G,spotify:track:4fNbGJOXIzOdwwz2zNT4vq,2009,Jazz,1/1/2008,1,7,0,0,29,0.615,0.669,0.526,431200,0.698,0.479,106.067,0.106,-7.046,0.0266,4
The Circle,Paul Hardcastle,spotify:track:5sAHk1mJFI5WfkYWYH2mOI,2009,Jazz,5/26/2009,1,5,0,0,30,0.331,0.767,0.76,227440,0.848,0.94,112.016,0.0707,-9.975,0.0274,4
Just Friends,Vanessa Williams,spotify:track:0ZI6V5GfJK8l1RWqEdHTH6,2009,Jazz,1/1/2009,1,11,0,0,31,0.267,0.767,0.47,253107,0.000884,0.695,97.999,0.0771,-8.204,0.0276,4
Goin' All Out,Eric Darius,spotify:track:64bOHAVAipEaL9KSvBIl34,2009,Jazz,1/1/2008,1,5,0,0,32,0.0928,0.708,0.823,251200,0.819,0.935,168.038,0.234,-6.307,0.0914,4
At Last,Beyonc̩,spotify:track:0h87GbMRuU8ENP8LmdeA22,2009,Jazz,11/28/2008,1,5,0,1,33,0.666,0.26,0.26,180707,0.00447,0.318,172.655,0.175,-10.669,0.0329,3
Blame It On The Summer,Basia,spotify:track:4rVTcJrTpv5mCqSdRrhjZs,2009,Jazz,3/24/2009,1,0,0,0,34,0.307,0.618,0.663,269000,0.00000679,0.821,163.918,0.0854,-8.304,0.036,4
Tango,Kenny G,spotify:track:6LzSIk88nq0FdPjCS2dGF4,2009,Jazz,1/1/2008,1,9,0,0,35,0.539,0.688,0.508,327600,0.639,0.287,111.965,0.0858,-6.978,0.0315,4
On & On,Candy Dulfer,spotify:track:3ZAQixPd0jmoYomO4fz10T,2009,Jazz,1/1/2009,1,8,0,1,36,0.119,0.636,0.813,275307,0.388,0.78,111.97,0.0669,-6.58,0.0482,4
